trip_id,customer_name,customer_phone,customer_area,driver_name,driver_phone,vehicle_plate,vehicle_make,vehicle_model,pickup_area,dropoff_area,trip_date,pickup_time,distance_km,payment_method,status,fare_amount,customer_rating
22,Faith Kariuki,0793595589,CBD,Brian Mutua,0774860677,KDC384M,Subaru,IMPREZA,Kasarani,Embakasi,02-06-2025,22:50,29.2,M-Pesa,Completed,1414,4
23,joy nyambura,0733240353,,Brian Otieno,0744810301,KDE501G,TOYOTA,Wish,south b,kilimani,28/05/25,19:28,16.7,M-PESA,Completed,KES 852,3
24,Grace Odhiambo,0759785686,Langata,Diana Barasa,0713263844,KDA950K,HONDA,Fit,Langata,South C,2025-02-18,22:42,35,CARD,Completed,1675,3
25,MERCY BARASA,+254766847125,buruburu,AMINA OMONDI,,KDA542H,mazda,Axela,Westlands,Runda,10/05/2025,08:04,15.1,M-PESA,Completed,780,3
26,Samuel Mwangi,0765-635-406,Buruburu,  Brian Otieno  ,0744810301,kda542h,Mazda,Axela,Embakasi,Ngong Road,10/05/2025,22:57,12.2,Card,Completed,649,3
27,joy nyambura,0733240353,Ngong Road,VICTOR ODHIAMBO,0746693891, KDA542H ,mazda,AXELA,Westlands,cbd,05-01-2025,13:50,8.9,mpesa,COMPLETED,KES 501,4
28,Victor Wekesa,0766929084,,Diana Kamau,+254731284168,kde501g,Toyota,WISH,Westlands,Kasarani,2025-03-25,21:57,13.1,card,Completed,690,3
29,David Achieng,0728832187,Runnda,Hassan Wafula,+254716564365,KDC384M,Subaru,Impreza,Kilimani,Kasarani,2025-05-12,07:33,24,M-Pesa,Completed,1180,3
30,Cynthia Chebet,0740139268,Langata,Diana Kamau,0731-284-168,KDD156F,Nissan,ADVAN,RUNDA,SOUTH B,19/06/25,13:05,30,Card,completed,1450,4
31,VICTOR WEKESA,0766929084,Westlands,BRIAN KAMAU,0777194079,KDC598H,Nissan,NOTE,Ngong Road,Kilimani,02-23-2025,06:04,19.6,mpesa,completed,982,4
32,James Wafula,0736895771,BURUBURU,david kiprotich,+254749589840,kdd693i,Toyota,Premio,CBD,Langata,04-17-2025,10:18,17.2,card,completed,KES 874,4
33,DAVID ACHIENG,0728832187,Runda,Moses Omondi,0753618087, KDE501G ,toyota,Wish,Buruburu,South C,2025-06-09,18:37,20.9,Cash,Completed,1041,4
34,Brian Otieno,0797729125,SOUTH B,Elias Cheruiyot,0779736929,KDE501G,Toyota,Wish,South B,SOUTH B,08/05/2025,16:56,,Card,Completed,924,3
35,Felix Wafula,0752573081,Karen,Amina Omondi,0734239702,KDE169J,mazda,demio,Ngong Road,Runda,04-03-2025,09:11,24.3,CARD,completed,1194,4
36,Brian Otieno,+254797729125,South B,hassan wafula,0716-564-365,kde169j,Mazda,DEMIO,CBD,LAVINGTON,04-21-2025,12:26,24,M-PESA,COMPLETED,"KES 1,180",4
37,FAITH MWANGI,,SOUTH B,Diana Kamau,0731284168,KDC384M,Subaru,Impreza,Ngong Road,Kilimani,03/03/2025,19:45,33.1,M-Pesa,completed,"KES 1,590",
38,Ivy Wanjiru,0716748321,,DIANA BARASA,+254713263844,KDA542H,Mazda,Axela,Ngong Road,LANGATA,2025-03-17,11:07,18.1,m-pesa,completed,915,4
39,Victor Wafula,0777979240,South C,  Brian Kamau  ,0777194079,KDA496F,Toyota,AXIO,Buruburu,Westlands,01/03/2025,16:39,33.2,M-Pesa,Completed,1594,4
40,Felix Wekesa,0735584587,Parklands,  Amina Omondi  ,0734239702,KDA496F,Toyota,Axio,South B,Langgata,2025-01-28,18:39,,Cash,COMPLETED,1266,5
41,Cynthia Mwangi,+254725121694,Langata,Amina Omondi,0734239702,KDC384M,Subaru,IMPREZA,Parklands,Langata,2025-01-27,20:26,32.1,Cash,Completed,1545,3
42,Samuel Mwangi,0765635406,BURUBURU,HASSAN WAFULA,0716564365,kdb560l,Toyota,Vitz,Kilimani,South B,15/03/25,21:32,6.9,Cash,Completed,411,4
43,Faith Kariuki,0793595589,CBD,AMINA OMONDI,0734-239-702,KDC384M,Subaru,Impreza,Karen,Langata,2025-03-22,21:33,-17.5,Card,COMPLETED,888,3
44,Kevin Mutua,0759899226,CBD,Hassan Wafula,0716564365,KDD693I,toyota,PREMIO,cbd,Lavington,2025-03-18,06:33,17.6,M-Pesa,completed,KES 892,4
45,Felix Wafula,0752-573-081,Karen,Diana Kamau,0731284168,kdb833g,Toyota,Fielder,Runda,Kilimani,17/02/2025,18:22,10.2,M-Pesa,Completed,559,4
46,Brian Wanjiru,0784844636,KASARANI,Victor Odhiambo,0746-693-891,KDA950K,HONDA,fit,Buruburu,Embakasi,2025-04-06,15:15,28.3,cash,COMPLETED,1374,3
47,Felix Wekesa,0735584587,,Victor Odhiambo,0746693891,KDA542H,Mazda,Axela,CBD,Westllands,03/05/2025,12:48,26.4,M-Pesa,Complete,1288,
48,Faith Mwangi,0717791214,South B,Hassan Wafula,0716-564-365, KDB833G ,TOYOTA,Fielder,Runda,Karen,06-09-2025,16:24,28.4,Card,Completed,1378,5
49,felix wekesa,0735-584-587,Parklands,David Kiprotich,0749589840, KDD693I ,Toyota,Premio,EMBAKASI,Karen,02/04/2025,15:45,32.2,m-pesa,Completed,1549,4
50,Faith Mwangi,0717791214,South B,Mercy Wanjiru,0781747623,kdd693i,Toyota,premio,South C,kasarani,2025-05-15,14:12,8.7,Cash,COMPLETED,491,5
51,Mercy Nyambura,0795540297,,Brian Mutua,,KDB833G,Toyota,Fielder,Embakasi,LANGATA,28/04/25,14:45,21.1,M-PESA,completed,"KES 1,050",5
52,Brian Otieno,0797729125,South B,victor odhiambo,0746-693-891,KDC384M,Subaru,Impreza,Buruburu,CBD,02-28-2025,08:05,33.9,cash,Completed,1626,
53,james wafula,0736895771,Buruburu,Hassan Wafula,0716564365,KDB560L,Toyota,VITZ,Runda,Ngong Road,15/03/2025,17:24,26.3,M-Pesa,Completed,1284,5
54,Mercy Nyambura,0795540297,Embakasi,Brian Kamau,0777194079,KDE501G,TOYOTA,Wish,,CBD,2025-06-08,12:38,4.1,Cash,Completed,KES 285,4
55,  Mercy Barasa  ,+254766847125,Buruburu,Brian Mutua,0774860677,KDA542H,Mazda,Axela,kilimani,Parklands,2025-01-15,11:10,3.1,Cash,COMPLETED,KES 240,5
56,JOY NYAMBURA,+254733240353,Ngong Road,Dennis Chebet,0739185296,KDC598H,Nissan,Note,Kilimani,Runda,2025-02-17,10:51,8.1,Cash,COMPLETED,KES 465,3
57,Felix Wekesa,,Parklands,Victor Odhiambo,0746693891,KDD156F,Nissan,Advan,Karen,CBBD,18/02/2025,06:17,4.5,CARD,completed,303,4
58,VICTOR KARIUKI,0739420701,KILIMANI,Amina Omondi,0734239702,KDC598H,Nissan,Note,karen,KASARANI,2025-04-10,18:26,20.2,mpesa,completed,1009,
59,Felix Wekesa,0735584587,Parkllands,Moses Omondi,0753618087,KDD156F,Nissan,ADVAN,embakasi,SOUTH C,04-01-2025,22:19,26.8,M-Pesa,Completed,1306,3
60,  Faith Mwangi  ,0717791214,South B,Hassan Wafula,0716564365,kda542h,Mazda,Axela,Lavington,Lavinngton,06-06-2025,15:50,22.2,cash,Complete,1099,4
61,Diana Chebet,0763344725,Kasarani,Brian Mutua,+254774860677,KDA950K,Honda,fit,south c,Runda,04-04-2025,18:35,28.3,m-pesa,Completed,1374,0
62,felix achieng,0754759100,,HASSAN WAFULA,0716564365,KDD156F,Nissan,Advan,Runda,Parklands,2025-01-06,11:40,9.4,CASH,Completed,523,4
63,Mercy Barasa,0766847125,Buruburu,Moses Kariuki,0781-400-181,kdc598h,Nissan,Note,Kilimani,Ngong  Road,2025-01-01,08:34,20.2,cash,Complete,1009,3
64,  Cynthia Chebet  ,0740139268,Langata,David Kiprotich,0749589840,KDC598H,Nissan,Note,South B,Langata,05-10-2025,11:52,2.3,Card,COMPLETED,204,0
65,Mercy Nyambura,0795540297,Embakasi,Diana Kamau,0731284168, KDE169J ,Mazda,Demio,PARKLANDS,EMBAKASI,06/05/2025,12:37,21.7,M-Pesa,Completed,1077,3
66,Brian Otieno,0797-729-125,South B,Brian Otieno,0744810301,kda950k,Honda,fit,Kilimani,CBD,2025-01-23,15:07,10.7,Card,Completed,582,3
67,JAMES WAFULA,,Buruburu,Victor Odhiambo,+254746693891, KDB833G ,Toyota,Fielder,Kasarani,Runda,13/01/2025,06:09,27.4,Cash,COMPLETED,1333,4
68,david achieng,0728832187,Runda,BRIAN OTIENO,0744810301,KDD156F,Nissan,advan,Karen,Runda,21/03/2025,17:29,16.3,CASH,Completed,834,3
69,IVY NJOROGE,+254752847276,Buruburu,Brian Mutua,,KDB833G,Toyota,Fielder,Ngong Road,Buruburu,21/04/25,09:43,23.9,M-Pesa,completed,"KES 1,176",3
70,WINNIE WAFULA,0781470948,Lavington,  David Kiprotich  ,0749-589-840,KDC384M,Subaru,impreza,South B,CBD,13/04/2025,16:32,3.8,m-pesa,COMPLETED,KES 271,0
71,Brian Otieno,0797729125,South B,Elias Cheruiyot,0779736929,KDC598H,Nissan,note,Lavington,Langata,21/05/2025,08:55,10.8,mpesa,Completed,586,4
72,Samuel Mwangi,0765635406,Buruburu,Diana Barasa,0713263844,KDD693I,Toyota,Premio,Kilimani,Ngong  Road,04/05/2025,14:22,33,M-Pesa,Complete,1585,3
73,Faith Kariuki,0793595589,CBD,Hassan Wafula,0716564365,kdc598h,Nissan,Note,Runda,Lavington,06-05-2025,12:55,9.5,CARD,Completed,528,3
74,Diana Chebet,0763344725,kasarani,Dennis Chebet,0739185296,kdc598h,Nissan,Note,Embakasi,,2025-04-09,14:05,34.4,Cash,Completed,1648,
75,samuel omondi,+254720576936,Langata,Mercy Wanjiru,0781747623,KDB560L,TOYOTA,Vitz,Kilimani,runda,2025-05-12,17:27,34.5,Card,COMPLETED,1653,4
76,KEVIN MUTUA,0759899226,CBD,David Kiprotich,0749589840, KDE501G ,TOYOTA,Wish,Parklands,,2025-04-20,22:21,12.1,Card,COMPLETED,645,3
77,victor kariuki,0739420701,kilimani,Moses Kariuki,+254781400181,KDA496F,Toyota,Axio,Runnda,Soutth C,2025-01-20,11:06,21.3,M-PESA,COMPLETED,"KES 1,059",3
78,James Wafula,0736895771,Buruburu,Dennis Chebet,0739-185-296,kdb560l,Toyota,Vitz,Runnda,Westlands,2025-02-26,20:55,4.4,Card,completed,298,5
79,Mercy Barasa,0766847125,BURUBURU,Moses Kariuki,0781400181, KDC598H ,nissan,note,Embakasi,Lavington,02-07-2025,14:31,15.4,CASH,completed,KES 793,4
80,felix wekesa,+254735584587,PARKLANDS,Brian Otieno,0744810301, KDD156F ,nissan,ADVAN,SOUTH B,WESTLANDS,2025-06-05,16:20,2.6,Card,completed,217,5
81,felix achieng,0754759100,South B,victor odhiambo,0746693891, KDB833G ,Toyota,Fielder,Buruburu,Ngong Road,2025-01-10,18:09,31,M-Pesa,COMPLETED,1495,6
82,samuel mwangi,+254765635406,Buruburu,Diana Kamau,0731-284-168,KDA950K,honda,Fit,Karen,Westlands,10/04/2025,15:59,31.4,Cash,Completed,1513,5
83,Hassan Wafula,0736980151,,Diana Kamau,0731284168,kde501g,TOYOTA,Wish,Kilimani,karen,02-10-2025,18:07,1.5,CASH,Completed,KES 168,5
84,joy nyambura,,Ngong Road,Moses Omondi,+254753618087,KDA496F,toyota,Axio,Buruburu,Karen,01-05-2025,12:02,22.2,Card,Completed,1099,4
85,Hassan Wafula,0736-980-151,LANGATA,brian kamau,0777194079,KDB560L,Toyota,Vitz,Parklands,Embakasi,2025-04-06,15:58,18.2,M-Pesa,Completed,919,0
86,James Wafula,0736895771,buruburu,Mercy Wanjiru,0781747623,KDA496F,Toyota,AXIO,embakasi,Westlands,2025-03-21,16:11,16.3,card,Completed,834,3
87,Samuel Omondi,0720576936,Langata,diana kamau,0731284168,KDD156F,nissan,advan,South B,Embakkasi,2025-04-17,17:31,10.7,Cash,Completed,582,4
88,Brian Otieno,+254797729125,South B,Diana Kamau,0731284168,kdb833g,TOYOTA,Fielder,Parklands,South B,2025-03-16,16:15,-25.7,Cash,COMPLETED,1257,
89,Felix Wekesa,+254735584587,Parklands,Mercy Wanjiru,0781747623,KDC598H,NISSAN,Note,CBD,south c,2025-01-02,16:58,11.4,M-Pesa,COMPLETED,613,6
90,  Mercy Wekesa  ,+254797593711,Westlands,MOSES OMONDI,0753618087,KDB833G,Toyota,Fielder,Runda,Parklands,25/06/2025,08:28,23.3,cash,Completed,1149,0
91,DIANA WAFULA,,Westlands,Amina Omondi,0734239702,KDA950K,honda,Fit,Runda,Ngong Road,02-17-2025,22:16,15.7,CARD,Completed,807,3
92,Winnie Wafula,0781470948,Lavington,Hassan Wafula,0716564365,KDD693I,Toyota,Premio,Parklands,Karen,04-04-2025,14:47,28.6,Cash,Completed,"KES 1,387",5
93,Ivy Wanjiru,0716748321,Runda,Moses Omondi,0753618087,kde169j,Mazda,Demio,Lavington,Kilimani,2025-05-05,19:04,30.6,Card,Completed,1477,5
94,  Samuel Mwangi  ,+254765635406,Buruburu,mercy wanjiru,0781747623,kdd693i,Toyota,Premio,CBD,Kasarani,2025-02-10,08:29,19.5,Cash,Completed,978,4
95,Ivy Njoroge,0752-847-276,BURUBURU,Brian Otieno,0744810301,KDD156F,Nissan,ADVAN,South C,CBD,2025-05-12,10:33,34,CASH,Completed,1630,3
96,HASSAN WAFULA,0736980151,langata,diana barasa,0713263844,KDB560L,Toyota,Vitz,South B,RUNDA,2025-03-23,16:54,11.4,Cash,Completed,613,0
97,IVY NJOROGE,0752-847-276,Buruburu,Elias Cheruiyot,+254779736929,KDC598H,Nissan,Note,Kasarani,Parkllands,2025-03-10,10:20,11.8,Card,Completed,KES 631,6
98,Faith Mwangi,0717-791-214,South B,Hassan Wafula,,KDA542H,Mazda,Axela,Buruburu,Ngong Road,2025-04-20,21:52,2.2,M-Pesa,COMPLETED,199,
99,Hassan Wafula,0736980151,Langata,DENNIS CHEBET,0739185296,KDA542H,Mazda,AXELA,Westlands,South C,04/04/2025,09:24,23.9,m-pesa,Completed,"KES 1,176",4
100,  Brian Otieno  ,0797729125,South B,Mercy Wanjiru,+254781747623,KDE169J,MAZDA,Demio,Runda,langata,02/06/2025,20:20,13.6,M-Pesa,Completed,KES 712,3
101,winnie wafula,,lavington,Victor Odhiambo,0746693891,KDB560L,Toyota,Vitz,Karen,Westlands,2025-06-02,17:41,19,M-Pesa,Completed,955,3
102,Winnie Wafula,0781470948,Lavington,Brian Mutua,0774860677,KDA496F,Toyota,axio,Parklands,Karen,2025-04-15,17:23,14.3,CASH,Completed,744,3
103,felix achieng,0754-759-100,south b,David Kiprotich,0749589840,KDC384M,Subaru,impreza,Karen,CBD,02-02-2025,07:04,11.8,Cash,completed,631,5
104,Cynthia Mwangi,0725-121-694,,Brian Otieno,0744810301,KDB560L,toyota,VITZ,Kilimani,Westlands,26/05/25,07:37,2.7,Card,completed,222,4
105,  David Achieng  ,,Runda,  Moses Kariuki  ,0781400181,KDE501G,Toyota,Wish,Ngong  Road,Ngong Road,2025-06-08,17:07,7.8,CASH,Completed,451,3
106,Diana Wafula,0738313151,Westlands,mercy wanjiru,+254781747623,KDE169J,mazda,DEMIO,Kilimani,Ngong  Road,2025-01-07,08:15,13.4,Cash,COMPLETED,KES 703,3
107,Felix Wafula,,Karen,amina omondi,,kdc384m,SUBARU,Impreza,South B,Westlands,2025-05-17,09:45,16.8,CASH,Completed,856,4
108,felix achieng,0754759100,South B,ELIAS CHERUIYOT,0779736929,KDC598H,Nissan,note,Buruburu,South C,01-28-2025,16:23,4.7,CARD,COMPLETED,312,6
109,FAITH MWANGI,0717791214,South B,ELIAS CHERUIYOT,,KDA542H,Mazda,Axela,CBBD,Kilimani,03/03/2025,22:53,18,M-Pesa,Completed,910,5
110,Samuel Cheruiyot,0744365845,Parklands,Diana Kamau,+254731284168,KDA496F,TOYOTA,Axio,Langata,KASARANI,2025-05-13,22:40,30.8,Card,Completed,1486,3
111,WINNIE WAFULA,,Lavington,Hassan Wafula,0716-564-365,KDB560L,Toyota,Vitz,Embakasi,Westlands,06-11-2025,12:03,24.9,mpesa,COMPLETED,1221,4
112,James Wafula,+254736895771,,Dennis Chebet,0739185296,KDC598H,Nissan,Note,Westlands,Embakasi,2025-02-05,16:54,5,Cash,completed,KES 325,5
113,Brian Otieno,0797729125,South B,Elias Cheruiyot,0779736929,KDB833G,Toyota,FIELDER,Karen,Soutth C,04-21-2025,20:45,23,M-Pesa,COMPLETED,1135,
114,  Felix Wekesa  ,0735584587,Parklands,Victor Odhiambo,0746693891,KDD693I,Toyota,Premio,Kasarani,Westlands,2025-04-19,15:19,5.9,Cash,Completed,366,4
115,Mercy Barasa,0766847125,Buruburu,  Dennis Chebet  ,0739185296,KDE169J,mazda,DEMIO,Langata,,2025-04-01,06:14,4.6,M-PESA,COMPLETED,307,0
116,Diana Chebet,0763-344-725,Kasarani,Diana Barasa,0713263844,KDE169J,MAZDA,DEMIO,South C,buruburu,07/02/2025,16:03,19.4,Card,Completed,KES 973,3
117,Joy Nyambura,+254733240353,Ngong Road,Brian Otieno,+254744810301,kda950k,Honda,Fit,Karen,Parklands,14/02/2025,07:00,4.7,Cash,COMPLETED,312,4
118,Mercy Barasa,0766847125,Buruburu,DAVID KIPROTICH,,KDA542H,Mazda,Axela,Parkllands,Kasarani,2025-06-21,10:01,30.5,CASH,Completed,"KES 1,473",0
119,James Wafula,0736895771,Burubburu,DENNIS CHEBET,+254739185296,KDD156F,Nissan,Advan,Runda,KILIMANI,12/01/2025,18:16,6.3,Cash,completed,384,0
120,  Samuel Cheruiyot  ,0744365845,Parklands,Mercy Wanjiru,0781747623,KDE501G,Toyota,Wish,Westlands,Ngong Road,04/06/2025,22:08,6.5,cash,COMPLETED,KES 393,4
121,Mercy Barasa,0766847125,Buruburu,Moses Kariuki,0781-400-181,KDA542H,mazda,Axela,buruburu,Embakasi,21/03/2025,07:06,,cash,COMPLETED,298,4
122,BRIAN WANJIRU,0784844636,Kasarrani,Moses Kariuki,0781-400-181,kda542h,MAZDA,AXELA,Parklands,Embakasi,2025-02-11,13:54,9.6,M-Pesa,COMPLETED,532,5
123,IVY NJOROGE,0752847276,Buruburu,Moses Omondi,0753618087,KDD693I,Toyota,premio,Embakasi,,04/03/2025,07:03,7.1,cash,COMPLETED,420,3
124,grace odhiambo,0759785686,Langata,elias cheruiyot,0779-736-929,KDC598H,Nissan,NOTE,Karen,Kilimani,2025-01-10,18:25,20.5,M-Pesa,Completed,"KES 1,023",6
125,Felix Achieng,0754759100,Soutth B,DIANA BARASA,0713263844,KDA542H,mazda,Axela,Kilimani,Lavington,2025-03-06,07:43,21.6,cash,Completed,"KES 1,072",6
126,  Felix Wafula  ,0752573081,Karen,Moses Kariuki,0781-400-181,kdb833g,Toyota,Fielder,Kasarani,Runda,2025-03-13,20:56,10.9,CASH,Completed,591,5
127,Felix Wafula,,Karen,Brian Kamau,0777194079,KDE501G,TOYOTA,WISH,CBD,Langata,2025-01-22,11:55,22,CASH,Completed,1090,5
128,Winnie Wafula,0781470948,Lavington,Diana Kamau,0731284168,KDA496F,Toyota,Axio,Ngong Road,CBD,04-28-2025,15:46,8.2,M-Pesa,completed,469,4
129,VICTOR WEKESA,0766929084,Westlands,BRIAN KAMAU,0777194079,KDB560L,TOYOTA,Vitz,Parklands,Kilimani,2025-02-27,08:51,,card,completed,379,5
130,Samuel Mwangi,0765635406,Buruburu,david kiprotich,0749-589-840,KDC598H,Nissan,Note,Buruburu,Kasarani,03-06-2025,16:29,20.5,cash,Completed,1023,4
131,faith kariuki,0793-595-589,CBD,David Kiprotich,0749-589-840,KDC598H,nissan,Note,Parklands,South B,2025-04-01,12:57,19.5,CARD,Completed,978,6
132,Samuel Cheruiyot,0744365845,parklands,BRIAN OTIENO,0744810301, KDA542H ,Mazda,Axela,Kasarani,Langata,02-15-2025,11:53,-29.1,CARD,Completed,1410,3
133,SAMUEL OMONDI,0720576936,Langata,brian otieno,0744810301,KDD156F,Nissan,Advan,Ngong  Road,Kilimani,03/05/2025,16:14,3.1,Card,Completed,240,6
134,Victor Wekesa,0766929084,Westlands,Moses Omondi,0753618087,KDC384M,Subaru,Impreza,karen,lavington,2025-03-10,12:50,22.5,CARD,Completed,1113,
135,Winnie Wafula,+254781470948,,Brian Otieno,0744810301,kdc384m,subaru,IMPREZA,Ngong Road,Langata,07/01/2025,13:10,29.2,Card,COMPLETED,1414,4
136,James Wafula,+254736895771,Buruburu,  Brian Mutua  ,0774860677,KDC384M,Subaru,IMPREZA,Lavington,,2025-06-12,13:48,26.8,M-Pesa,COMPLETED,1306,5
137,Felix Wekesa,0735584587,Parklands,Elias Cheruiyot,0779736929,KDA496F,Toyota,Axio,Kasarani,parklands,04-14-2025,12:41,12,mpesa,COMPLETED,KES 640,3
138,Brian Otieno,+254797729125,south b,David Kiprotich,0749589840,KDA542H,Mazda,axela,Buruburu,,2025-04-22,22:14,21.9,Cash,Completed,1086,4
139,SAMUEL CHERUIYOT,0744365845,Parklands,Elias Cheruiyot,0779736929,KDB833G,Toyota,Fielder,Runda,Kasarani,2025-04-17,19:10,22,Cash,Completed,"KES 1,090",5
140,Faith Mwangi,,South B,David Kiprotich,+254749589840,KDA950K,Honda,Fit,Kilimani,Ngong Road,2025-03-07,11:50,9.3,Cash,Completed,519,5
141,Victor Wafula,0777979240,South C,brian kamau,0777194079,KDD693I,Toyota,Premio,SOUTH C,buruburu,2025-04-04,16:12,4.9,M-Pesa,COMPLETED,321,4
142,Mercy Wekesa,0797593711,Westlands,VICTOR ODHIAMBO,0746693891, KDA496F ,Toyota,Axio,Lavinngton,Embakasi,2025-03-26,11:32,5.2,M-Pesa,Completed,KES 334,3
143,mercy barasa,,Buruburu,Diana Kamau,0731284168,KDA542H,Mazda,Axela,South B,Embakasi,20/04/25,22:30,32.3,Card,Completed,"KES 1,553",0
144,Joy Nyambura,0733240353,Ngong Road,Hassan Wafula,+254716564365,kdc384m,Subaru,Impreza,RUNDA,South C,02-17-2025,10:25,17.6,m-pesa,completed,892,5
145,VICTOR WAFULA,+254777979240,Soutth C,Diana Barasa,0713-263-844,KDE169J,Mazda,Demio,South C,Runda,03/03/2025,15:49,2.6,Card,COMPLETED,KES 217,6
146,Felix Wafula,0752573081,Karen,Moses Kariuki,0781400181,kdc598h,Nissan,Note,Kilimani,Buruburu,2025-06-24,09:46,30.3,Card,Completed,1464,3
147,Kevin Mutua,+254759899226,CBD,AMINA OMONDI,,kdc384m,Subaru,impreza,South C,Buruburu,2025-06-03,09:47,24,Cash,COMPLETED,1180,4
148,James Wafula,0736895771,Buruburu,MOSES OMONDI,0753618087,KDA496F,Toyota,Axio,Buruburu,Langata,23/03/25,06:44,4.7,Card,Completed,312,
149,Samuel Cheruiyot,0744365845,Parklands,VICTOR ODHIAMBO,0746693891,KDC384M,Subaru,IMPREZA,KILIMANI,Ngong Road,2025-01-04,14:05,14.7,M-Pesa,Completed,762,5
150,Winnie Wafula,+254781470948,Lavington,Moses Kariuki,,KDA542H,Mazda,AXELA,South C,,2025-02-18,22:07,8,cash,COMPLETED,460,3
151,Grace Odhiambo,0759785686,Langata,Elias Cheruiyot,0779736929, KDA496F ,Toyota,AXIO,South C,South C,24/01/2025,12:21,3.5,M-PESA,Completed,KES 258,5
152,VICTOR WAFULA,+254777979240,South C,dennis chebet,0739185296,KDB560L,TOYOTA,vitz,Kilimani,WESTLANDS,2025-06-27,14:55,33.2,M-Pesa,Completed,"KES 1,594",5
153,brian wanjiru,0784844636,Kasarani,Moses Kariuki,,KDA496F,Toyota,Axio,Ngong Road,Embakasi,26/01/2025,14:14,16.3,M-PESA,COMPLETED,834,0
154,David Achieng,0728-832-187,Runda,Brian Otieno,0744-810-301,KDC384M,Subaru,Impreza,Embakasi,Langata,10/05/2025,11:16,3.1,M-PESA,Completed,KES 240,5
